File				Authors		Source
BTNBestie.blp			Werewulf	http://www.wc3campaigns.net/
BTNBestienhaeputling.blp	bboy-tiger-	http://www.wc3campaigns.net/
BTNSchattenefreet.blp		TDR		http://www.wc3campaigns.net/
BTNZauberin.blp			dickxunder	http://www.hiveworkshop.com/
DISBTNBestie.blp		Werewulf	http://www.wc3campaigns.net/
DISBTNBestienhaeputling.blp	bboy-tiger-	http://www.wc3campaigns.net/
DISBTNZauberin.blp		dickxunder	http://www.hiveworkshop.com/
SSCZauberin.blp			dickxunder	http://www.hiveworkshop.com/
